no_neighs,no_nodes,malicious_stake,adversary_offset,proposer_vote_boost,tau_block,tau_attestation,mainchain_rate,branch_ratio,blocktree_entropy,attack_probability,attackable_slots_count,successful_reorgs,failed_reorgs,malicious_blocks_proposal_percent,malicious_blocks_finality_percent,malicious_finality_probability,delayed_block_influence,total_malicious_blocks_final,total_final_blocks,total_blocks
4,128,0.1,9,0.5,0.8157307210000002,1.0,1.0,0.0,0.12974069471942834,0.11764705882352941,4,0,4,0.14285714285714285,0.14285714285714285,1.0,0,5,35,35
4,128,0.1,9,0.5,1.0604499373000003,1.0,1.0,0.0,0.12974069471942834,0.058823529411764705,2,0,2,0.08571428571428572,0.08571428571428572,1.0,0,3,35,35
4,128,0.1,9,0.5,1.3785849184900003,1.0,1.0,0.0,0.12974069471942834,0.08823529411764706,3,0,3,0.08571428571428572,0.08571428571428572,1.0,0,3,35,35
4,128,0.1,9,0.5,1.7921603940370006,1.0,1.0,0.0,0.12974069471942834,0.058823529411764705,2,0,2,0.05714285714285714,0.05714285714285714,1.0,0,2,35,35
4,128,0.1,9,0.5,2.3298085122481007,1.0,0.9714285714285714,0.029411764705882353,0.3470668257548097,0.14705882352941177,5,0,5,0.17142857142857143,0.14705882352941177,0.8333333333333334,1,5,34,35
4,128,0.1,9,0.5,3.028751065922531,1.0,1.0,0.0,0.12974069471942834,0.0,0,0,0,0.02857142857142857,0.02857142857142857,1.0,0,1,35,35
4,128,0.1,9,0.5,3.9373763856992907,1.0,0.8857142857142857,0.12903225806451613,0.7466944330548823,0.029411764705882353,1,1,0,0.05714285714285714,0.03225806451612903,0.5,0,1,31,35
4,128,0.1,9,0.5,5.118589301409078,1.0,0.8,0.25,0.9790180944063938,0.058823529411764705,2,1,1,0.08571428571428572,0.10714285714285714,1.0,1,3,28,35
4,128,0.1,9,0.5,6.654166091831802,1.0,0.7142857142857143,0.36,1.0649968705807584,0.058823529411764705,2,1,1,0.05714285714285714,0.08,1.0,1,2,25,35
4,128,0.1,9,0.5,8.650415919381343,1.0,0.4857142857142857,1.0,1.126913393634508,0.11764705882352941,4,2,2,0.14285714285714285,0.17647058823529413,0.6,4,3,17,35
4,128,0.1,9,0.5,11.245540695195746,1.0,0.5142857142857142,0.8888888888888888,1.1972479412873862,0.058823529411764705,2,1,1,0.08571428571428572,0.1111111111111111,0.6666666666666666,2,2,18,35
4,128,0.1,9,0.5,14.61920290375447,1.0,0.42857142857142855,1.2666666666666666,1.2122558125001857,0.08823529411764706,3,3,0,0.14285714285714285,0.13333333333333333,0.4,3,2,15,35
4,128,0.1,9,0.5,19.00496377488081,1.0,0.34285714285714286,1.8333333333333333,1.1481132574077375,0.029411764705882353,1,1,0,0.05714285714285714,0.08333333333333333,0.5,1,1,12,35
4,128,0.1,9,0.5,24.706452907345053,1.0,0.37142857142857144,1.4615384615384615,1.2707729515611013,0.14705882352941177,5,2,3,0.17142857142857143,0.3076923076923077,0.6666666666666666,2,4,13,35
4,128,0.15000000000000002,9,0.5,0.1,1.0,1.0,0.0,0.12974069471942834,0.11764705882352941,4,0,4,0.11428571428571428,0.11428571428571428,1.0,0,4,35,35
4,128,0.15000000000000002,9,0.5,0.13,1.0,1.0,0.0,0.12974069471942834,0.11764705882352941,4,0,4,0.14285714285714285,0.14285714285714285,1.0,0,5,35,35
4,128,0.15000000000000002,9,0.5,0.169,1.0,1.0,0.0,0.12974069471942834,0.11764705882352941,4,0,4,0.14285714285714285,0.14285714285714285,1.0,0,5,35,35
4,128,0.15000000000000002,9,0.5,0.21970000000000003,1.0,1.0,0.0,0.12974069471942834,0.17647058823529413,6,0,6,0.2,0.2,1.0,0,7,35,35
4,128,0.15000000000000002,9,0.5,0.28561000000000003,1.0,1.0,0.0,0.12974069471942834,0.20588235294117646,7,0,7,0.2,0.2,1.0,0,7,35,35
4,128,0.15000000000000002,9,0.5,0.37129300000000004,1.0,1.0,0.0,0.12974069471942834,0.14705882352941177,5,0,5,0.14285714285714285,0.14285714285714285,1.0,0,5,35,35
4,128,0.15000000000000002,9,0.5,0.4826809000000001,1.0,1.0,0.0,0.12974069471942834,0.14705882352941177,5,0,5,0.14285714285714285,0.14285714285714285,1.0,0,5,35,35
4,128,0.15000000000000002,9,0.5,0.6274851700000001,1.0,1.0,0.0,0.12974069471942834,0.17647058823529413,6,0,6,0.17142857142857143,0.17142857142857143,1.0,0,6,35,35
4,128,0.15000000000000002,9,0.5,0.8157307210000002,1.0,0.9714285714285714,0.029411764705882353,0.3470668257548097,0.08823529411764706,3,0,3,0.08571428571428572,0.058823529411764705,0.6666666666666666,1,2,34,35
4,128,0.15000000000000002,9,0.5,1.0604499373000003,1.0,1.0,0.0,0.12974069471942834,0.11764705882352941,4,0,4,0.11428571428571428,0.11428571428571428,1.0,0,4,35,35
4,128,0.15000000000000002,9,0.5,1.3785849184900003,1.0,1.0,0.0,0.12974069471942834,0.23529411764705882,8,0,8,0.22857142857142856,0.22857142857142856,1.0,0,8,35,35
4,128,0.15000000000000002,9,0.5,1.7921603940370006,1.0,1.0,0.0,0.12974069471942834,0.08823529411764706,3,0,3,0.08571428571428572,0.08571428571428572,1.0,0,3,35,35
4,128,0.15000000000000002,9,0.5,2.3298085122481007,1.0,0.9714285714285714,0.029411764705882353,0.3470668257548097,0.029411764705882353,1,0,1,0.02857142857142857,0.029411764705882353,1.0,0,1,34,35
4,128,0.15000000000000002,9,0.5,3.028751065922531,1.0,0.9714285714285714,0.029411764705882353,0.3470668257548097,0.11764705882352941,4,1,3,0.11428571428571428,0.11764705882352941,1.0,1,4,34,35
4,128,0.15000000000000002,9,0.5,3.9373763856992907,1.0,0.7714285714285715,0.25925925925925924,0.9790180944063938,0.14705882352941177,5,2,3,0.17142857142857143,0.14814814814814814,0.6666666666666666,4,4,27,35
4,128,0.15000000000000002,9,0.5,5.118589301409078,1.0,0.6571428571428571,0.4782608695652174,1.0977878444695828,0.14705882352941177,5,3,2,0.14285714285714285,0.17391304347826086,0.8,4,4,23,35
4,128,0.15000000000000002,9,0.5,6.654166091831802,1.0,0.6,0.6190476190476191,1.1811002954487944,0.058823529411764705,2,1,1,0.05714285714285714,0.047619047619047616,0.5,2,1,21,35
4,128,0.15000000000000002,9,0.5,8.650415919381343,1.0,0.4857142857142857,0.7058823529411765,1.0717287302022056,0.2647058823529412,9,6,3,0.2857142857142857,0.4117647058823529,0.7,6,7,17,35
4,128,0.15000000000000002,9,0.5,11.245540695195746,1.0,0.45714285714285713,1.125,1.1010148232122057,0.11764705882352941,4,4,0,0.14285714285714285,0.25,0.8,3,4,16,35
4,128,0.15000000000000002,9,0.5,14.61920290375447,1.0,0.42857142857142855,1.2666666666666666,1.130232548842504,0.11764705882352941,4,3,1,0.11428571428571428,0.06666666666666667,0.25,4,1,15,35
4,128,0.15000000000000002,9,0.5,19.00496377488081,1.0,0.2857142857142857,1.3,1.3215527919684098,0.14705882352941177,5,4,1,0.14285714285714285,0.3,0.6,5,3,10,35
4,128,0.15000000000000002,9,0.5,24.706452907345053,1.0,0.2857142857142857,1.9,1.131864736418117,0.08823529411764706,3,1,2,0.08571428571428572,0.0,0.0,3,0,10,35
4,128,0.2,9,0.5,0.1,1.0,1.0,0.0,0.12974069471942834,0.20588235294117646,7,1,6,0.2,0.2,1.0,0,7,35,35
4,128,0.2,9,0.5,0.13,1.0,1.0,0.0,0.12974069471942834,0.14705882352941177,5,0,5,0.17142857142857143,0.17142857142857143,1.0,0,6,35,35
4,128,0.2,9,0.5,0.169,1.0,1.0,0.0,0.12974069471942834,0.20588235294117646,7,0,7,0.2,0.2,1.0,0,7,35,35
4,128,0.2,9,0.5,0.21970000000000003,1.0,1.0,0.0,0.12974069471942834,0.20588235294117646,7,0,7,0.22857142857142856,0.22857142857142856,1.0,0,8,35,35
4,128,0.2,9,0.5,0.28561000000000003,1.0,1.0,0.0,0.12974069471942834,0.2647058823529412,9,0,9,0.2571428571428571,0.2571428571428571,1.0,0,9,35,35
4,128,0.2,9,0.5,0.37129300000000004,1.0,1.0,0.0,0.12974069471942834,0.2647058823529412,9,0,9,0.2571428571428571,0.2571428571428571,1.0,0,9,35,35
4,128,0.2,9,0.5,0.4826809000000001,1.0,1.0,0.0,0.12974069471942834,0.23529411764705882,8,0,8,0.22857142857142856,0.22857142857142856,1.0,0,8,35,35
4,128,0.2,9,0.5,0.6274851700000001,1.0,1.0,0.0,0.12974069471942834,0.11764705882352941,4,0,4,0.11428571428571428,0.11428571428571428,1.0,0,4,35,35
4,128,0.2,9,0.5,0.8157307210000002,1.0,1.0,0.0,0.12974069471942834,0.11764705882352941,4,0,4,0.11428571428571428,0.11428571428571428,1.0,0,4,35,35
4,128,0.2,9,0.5,1.0604499373000003,1.0,1.0,0.0,0.12974069471942834,0.14705882352941177,5,0,5,0.14285714285714285,0.14285714285714285,1.0,0,5,35,35
4,128,0.2,9,0.5,1.3785849184900003,1.0,1.0,0.0,0.12974069471942834,0.2647058823529412,9,1,8,0.2857142857142857,0.2857142857142857,1.0,0,10,35,35
4,128,0.2,9,0.5,1.7921603940370006,1.0,1.0,0.0,0.12974069471942834,0.17647058823529413,6,0,6,0.17142857142857143,0.17142857142857143,1.0,0,6,35,35
4,128,0.2,9,0.5,2.3298085122481007,1.0,0.9428571428571428,0.030303030303030304,0.3470668257548097,0.2647058823529412,9,1,8,0.2571428571428571,0.2727272727272727,1.0,1,9,33,35
4,128,0.2,9,0.5,3.028751065922531,1.0,0.9428571428571428,0.06060606060606061,0.5062608421468742,0.23529411764705882,8,2,6,0.22857142857142856,0.24242424242424243,1.0,2,8,33,35
4,128,0.2,9,0.5,3.9373763856992907,1.0,0.9714285714285714,0.029411764705882353,0.3470668257548097,0.20588235294117646,7,2,5,0.2,0.20588235294117646,1.0,1,7,34,35
4,128,0.2,9,0.5,5.118589301409078,1.0,0.7428571428571429,0.2692307692307692,0.9790180944063938,0.35294117647058826,12,2,10,0.34285714285714286,0.34615384615384615,0.75,3,9,26,35
4,128,0.2,9,0.5,6.654166091831802,1.0,0.7714285714285715,0.2962962962962963,1.0847789581877945,0.14705882352941177,5,2,3,0.17142857142857143,0.14814814814814814,0.6666666666666666,4,4,27,35
4,128,0.2,9,0.5,8.650415919381343,1.0,0.6285714285714286,0.5454545454545454,1.2357752575175691,0.20588235294117646,7,3,4,0.22857142857142856,0.18181818181818182,0.5,7,4,22,35
4,128,0.2,9,0.5,11.245540695195746,1.0,0.5142857142857142,0.9444444444444444,1.2694837642395713,0.17647058823529413,6,5,1,0.17142857142857143,0.2222222222222222,0.6666666666666666,5,4,18,35
4,128,0.2,9,0.5,14.61920290375447,1.0,0.34285714285714286,1.4166666666666667,1.2671792246130171,0.11764705882352941,4,3,1,0.11428571428571428,0.16666666666666666,0.5,4,2,12,35
4,128,0.2,9,0.5,19.00496377488081,1.0,0.34285714285714286,1.8333333333333333,1.2026716146901502,0.11764705882352941,4,2,2,0.11428571428571428,0.0,0.0,4,0,12,35
