no_neighs,no_nodes,malicious_stake,adversary_offset,proposer_vote_boost,tau_block,tau_attestation,mainchain_rate,branch_ratio,blocktree_entropy,attack_probability,attackable_slots_count,successful_reorgs,failed_reorgs,malicious_blocks_proposal_percent,malicious_blocks_finality_percent,malicious_finality_probability,delayed_block_influence
4,128,0.0,8,0.0,72.9,656.1,0.2,2.142857142857143,1.1810189277734526,0.0,0,0,0,0.0,0.0,0.0,0
4,128,0.0,8,0.0,218.70000000000002,0.1,0.17142857142857143,4.166666666666667,0.8278890099486462,0.0,0,0,0,0.0,0.0,0.0,0
4,128,0.0,8,0.0,218.70000000000002,0.30000000000000004,0.08571428571428572,8.666666666666666,0.7056865701326933,0.0,0,0,0,0.0,0.0,0.0,0
4,128,0.0,8,0.0,218.70000000000002,0.9000000000000001,0.14285714285714285,5.4,0.7311508120784059,0.0,0,0,0,0.0,0.0,0.0,0
4,128,0.0,8,0.0,218.70000000000002,2.7,0.08571428571428572,7.666666666666667,0.8273606035976393,0.0,0,0,0,0.0,0.0,0.0,0
4,128,0.0,8,0.0,218.70000000000002,8.100000000000001,0.11428571428571428,6.0,0.8655196640080158,0.0,0,0,0,0.0,0.0,0.0,0
4,128,0.0,8,0.0,218.70000000000002,24.300000000000004,0.08571428571428572,6.666666666666667,0.8612018151205774,0.0,0,0,0,0.0,0.0,0.0,0
4,128,0.0,8,0.0,218.70000000000002,72.9,0.08571428571428572,6.0,0.986622931632402,0.0,0,0,0,0.0,0.0,0.0,0
4,128,0.0,8,0.0,218.70000000000002,218.70000000000002,0.11428571428571428,6.0,0.7808501199138792,0.0,0,0,0,0.0,0.0,0.0,0
4,128,0.0,8,0.0,218.70000000000002,656.1,0.11428571428571428,6.0,0.8273606035976393,0.0,0,0,0,0.0,0.0,0.0,0
4,128,0.0,8,0.0,656.1,0.1,0.05714285714285714,12.5,0.7056865701326933,0.0,0,0,0,0.0,0.0,0.0,0
4,128,0.0,8,0.0,656.1,0.30000000000000004,0.08571428571428572,8.666666666666666,0.7056865701326933,0.0,0,0,0,0.0,0.0,0.0,0
4,128,0.0,8,0.0,656.1,0.9000000000000001,0.05714285714285714,11.5,0.7182296941096664,0.0,0,0,0,0.0,0.0,0.0,0
4,128,0.0,8,0.0,656.1,2.7,0.05714285714285714,14.5,0.48160237879386447,0.0,0,0,0,0.0,0.0,0.0,0
4,128,0.0,8,0.0,656.1,8.100000000000001,0.11428571428571428,6.5,0.7012509181490032,0.0,0,0,0,0.0,0.0,0.0,0
4,128,0.0,8,0.0,656.1,24.300000000000004,0.08571428571428572,7.0,0.8669690139153505,0.0,0,0,0,0.0,0.0,0.0,0
4,128,0.0,8,0.0,656.1,72.9,0.08571428571428572,8.666666666666666,0.7056865701326933,0.0,0,0,0,0.0,0.0,0.0,0
4,128,0.0,8,0.0,656.1,218.70000000000002,0.08571428571428572,8.666666666666666,0.7056865701326933,0.0,0,0,0,0.0,0.0,0.0,0
