no_neighs,no_nodes,malicious_stake,adversary_offset,proposer_vote_boost,tau_block,tau_attestation,mainchain_rate,branch_ratio,blocktree_entropy
8,128,0.0,0,0.0,38.443359375,12.8,0.14814814814814814,3.25,1.007466573695334
8,128,0.0,0,0.0,38.443359375,25.6,0.07407407407407407,7.0,0.8958309703600935
8,128,0.0,0,0.0,38.443359375,51.2,0.1111111111111111,4.666666666666667,0.8963792765729861
8,128,0.0,0,0.0,38.443359375,102.4,0.1111111111111111,4.333333333333333,1.0708783028820528
8,128,0.0,0,0.0,38.443359375,204.8,0.1111111111111111,6.0,0.8713989802428705
8,128,0.0,0,0.0,38.443359375,409.6,0.1111111111111111,4.333333333333333,0.9257801931771859
8,128,0.0,0,0.0,38.443359375,819.2,0.1111111111111111,5.666666666666667,0.9033636549597351
8,128,0.0,0,0.0,57.6650390625,0.1,0.1111111111111111,5.333333333333333,0.8326398584825336
8,128,0.0,0,0.0,57.6650390625,0.2,0.1111111111111111,5.0,0.8958309703600935
8,128,0.0,0,0.0,57.6650390625,0.4,0.07407407407407407,8.0,0.8256554800957847
8,128,0.0,0,0.0,57.6650390625,0.8,0.1111111111111111,5.666666666666667,0.8251864988031563
8,128,0.0,0,0.0,57.6650390625,1.6,0.07407407407407407,9.0,0.7787318647728358
8,128,0.0,0,0.0,57.6650390625,3.2,0.07407407407407407,7.5,0.9257801931771859
8,128,0.0,0,0.0,57.6650390625,6.4,0.07407407407407407,10.5,0.5718327393983101
8,128,0.0,0,0.0,57.6650390625,12.8,0.1111111111111111,5.666666666666667,0.8256554800957847
8,128,0.0,0,0.0,57.6650390625,25.6,0.07407407407407407,7.5,0.8251864988031563
8,128,0.0,0,0.0,57.6650390625,51.2,0.07407407407407407,10.0,0.6298309121390556
8,128,0.0,0,0.0,57.6650390625,102.4,0.1111111111111111,6.0,0.7787318647728358
8,128,0.0,0,0.0,57.6650390625,204.8,0.07407407407407407,9.5,0.7224980276090904
8,128,0.0,0,0.0,57.6650390625,409.6,0.07407407407407407,10.5,0.5735160760972796
8,128,0.0,0,0.0,57.6650390625,819.2,0.18518518518518517,4.0,0.6298309121390556
8,128,0.0,0,0.0,86.49755859375,0.1,0.07407407407407407,10.0,0.6298309121390556
8,128,0.0,0,0.0,86.49755859375,0.2,0.07407407407407407,9.5,0.6551416497122078
8,128,0.0,0,0.0,86.49755859375,0.4,0.1111111111111111,6.333333333333333,0.6786071516914347
8,128,0.0,0,0.0,86.49755859375,0.8,0.1111111111111111,5.666666666666667,0.8256554800957847
8,128,0.0,0,0.0,86.49755859375,1.6,0.1111111111111111,6.666666666666667,0.6551416497122078
8,128,0.0,0,0.0,86.49755859375,3.2,0.07407407407407407,9.5,0.7224980276090904
8,128,0.0,0,0.0,86.49755859375,6.4,0.07407407407407407,9.0,0.7224980276090904
8,128,0.0,0,0.0,86.49755859375,12.8,0.07407407407407407,9.0,0.7193290272061972
8,128,0.0,0,0.0,86.49755859375,25.6,0.07407407407407407,9.0,0.7544627023259549
8,128,0.0,0,0.0,86.49755859375,51.2,0.1111111111111111,5.666666666666667,0.8256554800957847
8,128,0.0,0,0.0,86.49755859375,102.4,0.07407407407407407,9.5,0.6745212105923761
8,128,0.0,0,0.0,86.49755859375,204.8,0.07407407407407407,9.5,0.6786071516914347
8,128,0.0,0,0.0,86.49755859375,409.6,0.07407407407407407,10.5,0.5718327393983101
8,128,0.0,0,0.0,86.49755859375,819.2,0.07407407407407407,11.5,0.4195558923202333
8,128,0.0,0,0.0,1.0,0.1,1.0,0.0,0.15841057013179086
8,128,0.0,0,0.0,1.0,0.2,1.0,0.0,0.15841057013179086
8,128,0.0,0,0.0,1.0,0.4,1.0,0.0,0.15841057013179086
8,128,0.0,0,0.0,1.0,0.8,1.0,0.0,0.15841057013179086
8,128,0.0,0,0.0,1.0,1.6,1.0,0.0,0.15841057013179086
8,128,0.0,0,0.0,1.0,3.2,1.0,0.0,0.15841057013179086
8,128,0.0,0,0.0,1.0,6.4,1.0,0.0,0.15841057013179086
8,128,0.0,0,0.0,1.0,12.8,1.0,0.0,0.15841057013179086
8,128,0.0,0,0.0,1.0,25.6,1.0,0.0,0.15841057013179086
8,128,0.0,0,0.0,1.0,51.2,1.0,0.0,0.15841057013179086
8,128,0.0,0,0.0,1.0,102.4,1.0,0.0,0.15841057013179086
8,128,0.0,0,0.0,1.0,204.8,1.0,0.0,0.15841057013179086
8,128,0.0,0,0.0,1.0,409.6,1.0,0.0,0.15841057013179086
8,128,0.0,0,0.0,1.0,819.2,1.0,0.0,0.15841057013179086
8,128,0.0,0,0.0,1.5,0.1,1.0,0.0,0.15841057013179086
8,128,0.0,0,0.0,1.5,0.2,1.0,0.0,0.15841057013179086
