no_neighs,no_nodes,malicious_stake,adversary_offset,proposer_vote_boost,tau_block,tau_attestation,mainchain_rate,branch_ratio,blocktree_entropy,attack_probability,attackable_slots_count,successful_reorgs,failed_reorgs,malicious_blocks_proposal_percent,malicious_blocks_finality_percent,malicious_finality_probability,delayed_block_influence,total_malicious_blocks_final,total_final_blocks,total_blocks
4,128,0.0,9,0.0,1.0604499373000003,12.5,1.0,0.0,0.12974069471942834,0.0,0,0,0,0.0,0.0,0.0,0,0,35,35
4,128,0.0,9,0.0,1.0604499373000003,62.5,1.0,0.0,0.12974069471942834,0.0,0,0,0,0.0,0.0,0.0,0,0,35,35
4,128,0.0,9,0.0,1.3785849184900003,0.1,1.0,0.0,0.12974069471942834,0.0,0,0,0,0.0,0.0,0.0,0,0,35,35
4,128,0.0,9,0.0,1.3785849184900003,0.5,1.0,0.0,0.12974069471942834,0.0,0,0,0,0.0,0.0,0.0,0,0,35,35
4,128,0.0,9,0.0,1.3785849184900003,2.5,1.0,0.0,0.12974069471942834,0.0,0,0,0,0.0,0.0,0.0,0,0,35,35
4,128,0.0,9,0.0,1.3785849184900003,12.5,1.0,0.0,0.12974069471942834,0.0,0,0,0,0.0,0.0,0.0,0,0,35,35
4,128,0.0,9,0.0,1.3785849184900003,62.5,1.0,0.0,0.12974069471942834,0.0,0,0,0,0.0,0.0,0.0,0,0,35,35
4,128,0.0,9,0.0,1.7921603940370006,0.1,1.0,0.0,0.12974069471942834,0.0,0,0,0,0.0,0.0,0.0,0,0,35,35
4,128,0.0,9,0.0,1.7921603940370006,0.5,1.0,0.0,0.12974069471942834,0.0,0,0,0,0.0,0.0,0.0,0,0,35,35
4,128,0.0,9,0.0,1.7921603940370006,2.5,0.9714285714285714,0.029411764705882353,0.3470668257548097,0.0,0,0,0,0.0,0.0,0.0,0,0,34,35
4,128,0.0,9,0.0,1.7921603940370006,12.5,1.0,0.0,0.12974069471942834,0.0,0,0,0,0.0,0.0,0.0,0,0,35,35
4,128,0.0,9,0.0,1.7921603940370006,62.5,1.0,0.0,0.12974069471942834,0.0,0,0,0,0.0,0.0,0.0,0,0,35,35
